checking_account_status,duration_months,credit_amount,savings_account,employment_since,installment_rate_pct,residence_since,property,age,existing_credits_count,job,num_dependents,target,debt_to_income_proxy,age_band,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,personal_status_sex_A92,personal_status_sex_A93,personal_status_sex_A94,other_debtors_A102,other_debtors_A103,other_installment_plans_A142,other_installment_plans_A143,housing_A152,housing_A153,telephone_A192,foreign_worker_A202
1,30,2181,4,4,4,4,0,36,2,2,1,1,87.24,25-40,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
1,12,1037,1,3,3,4,0,39,1,1,1,1,31.11,25-40,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False
1,30,2150,0,2,4,2,3,24,1,2,1,0,86.0,<25,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
3,18,1533,0,1,4,1,1,43,1,1,2,0,61.32,40-60,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False
0,36,2145,0,3,2,1,2,24,2,2,1,0,42.9,<25,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False
3,6,1221,4,2,1,2,1,27,2,2,1,1,12.21,25-40,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
1,15,2631,1,2,3,2,0,25,1,1,1,1,78.93,25-40,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
3,24,2197,4,3,4,4,2,43,2,2,2,1,87.88,40-60,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
3,24,2670,0,4,4,4,2,35,1,3,1,1,106.8,25-40,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
3,24,8648,0,1,2,2,2,27,2,2,1,0,172.96,25-40,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
2,12,609,0,1,4,1,0,26,1,0,1,0,24.36,25-40,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False
0,36,5493,0,4,2,4,3,42,1,2,2,1,109.86,40-60,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
3,24,5511,1,2,4,1,2,25,1,2,1,1,220.44,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,24,2384,0,4,4,4,0,64,1,1,1,1,95.36,60+,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,12,639,0,2,4,2,2,30,1,2,1,0,25.56,25-40,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,42,3394,0,0,4,4,2,65,2,0,1,1,135.76,60+,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False
0,36,2348,0,2,3,2,1,46,2,2,1,1,70.44,40-60,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False
3,12,707,0,2,4,2,0,30,2,2,1,1,28.28,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
3,15,1300,4,4,4,4,3,45,1,2,2,1,52.0,40-60,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
3,18,2662,4,3,4,3,1,32,1,2,1,1,106.48,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
3,12,976,4,4,4,4,2,35,2,2,1,1,39.04,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
1,15,1308,0,4,4,4,2,38,2,1,1,1,52.32,25-40,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
2,12,1474,0,1,4,1,1,33,1,3,1,1,58.96,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
3,12,1262,0,2,3,2,2,25,1,2,1,1,37.86,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,48,2751,4,4,4,3,2,38,2,2,2,1,110.04,25-40,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
3,24,937,0,1,4,3,2,27,2,1,1,1,37.48,25-40,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
3,18,3780,0,1,3,2,2,35,2,3,1,1,113.4,25-40,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
3,24,2684,0,2,4,2,0,35,2,1,1,1,107.36,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,10,727,2,4,4,4,3,46,1,2,1,1,29.08,40-60,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False
0,6,1361,0,1,2,4,0,40,1,1,2,1,27.22,40-60,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
3,9,1236,0,1,1,4,0,23,1,2,1,1,12.36,<25,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
2,12,1480,2,0,2,4,3,66,3,0,1,1,29.6,60+,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
3,24,4151,1,2,2,3,1,35,2,2,1,1,83.02,25-40,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
1,15,1264,1,2,2,2,1,25,1,2,1,0,25.28,25-40,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
3,36,7980,4,1,4,4,2,27,2,2,1,0,319.2,25-40,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
3,21,5248,4,2,1,3,2,26,1,2,1,1,52.48,25-40,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,18,629,2,4,4,3,1,32,2,3,1,1,25.16,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1,12,2028,4,2,4,2,2,30,1,2,1,1,81.12,25-40,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,24,1249,0,1,4,2,0,28,1,2,1,1,49.96,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
3,24,1533,0,1,4,3,2,38,1,2,1,1,61.32,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
3,15,4623,1,2,3,2,1,40,1,3,1,0,138.69,40-60,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
2,10,3949,0,1,1,1,1,37,1,1,2,1,39.49,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False
0,24,1382,1,3,4,1,0,26,2,2,1,1,55.28,25-40,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False
3,24,1940,3,4,4,4,0,60,1,2,1,1,77.6,60+,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
0,12,1108,0,3,4,3,0,28,2,2,1,0,44.32,25-40,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,24,3972,0,3,2,4,1,25,1,2,1,1,79.44,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
1,18,6361,0,4,2,1,3,41,1,2,1,1,127.22,40-60,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
3,15,3186,3,3,2,3,2,20,1,2,1,1,63.72,<25,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,12,697,0,1,4,2,2,46,2,2,1,0,27.88,40-60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
3,6,700,4,4,4,4,3,36,2,2,1,1,28.0,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
3,10,2210,0,2,2,2,0,25,1,1,1,0,44.2,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,21,1835,0,2,3,2,0,25,2,2,1,0,55.05,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
0,18,2462,0,2,2,2,2,22,1,2,1,0,49.24,<25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
1,18,3213,2,1,1,3,0,25,1,2,1,1,32.13,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,42,3965,0,1,4,3,2,34,1,2,1,0,158.6,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,24,1381,4,2,4,2,1,35,1,2,1,0,55.24,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,18,7511,4,4,1,4,1,51,1,2,2,0,75.11,40-60,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
3,24,3181,0,1,4,4,1,26,1,2,1,1,127.24,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
0,15,1845,0,1,4,1,1,46,1,2,1,1,73.8,40-60,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
0,24,1755,0,4,4,4,0,58,1,1,1,1,70.2,40-60,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False
3,12,3527,4,1,2,3,1,45,1,3,2,1,70.54,40-60,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
0,10,2132,4,1,2,3,0,27,2,2,1,1,42.64,25-40,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
0,15,1275,4,2,4,2,2,24,1,2,1,0,51.0,<25,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3,15,3568,0,4,4,2,2,54,1,3,1,1,142.72,40-60,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,11,3905,0,2,2,2,0,36,2,2,2,1,78.1,25-40,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0,20,4272,0,4,1,4,1,24,2,2,1,1,42.72,<25,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,9,1364,0,3,3,4,0,59,1,2,1,1,40.92,40-60,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
2,24,2892,0,4,3,4,3,51,1,2,1,1,86.76,40-60,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0,24,1747,0,1,4,1,1,24,1,1,1,1,69.88,<25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True
3,12,1963,0,3,4,2,2,31,2,3,2,1,78.52,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
1,48,18424,0,2,1,2,1,32,1,3,1,0,184.24,25-40,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True
1,60,6288,0,2,4,4,3,42,1,2,1,0,251.52,40-60,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
1,30,8386,0,3,2,2,1,49,1,2,1,0,167.72,40-60,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,36,8947,4,3,3,2,2,31,1,3,2,1,268.41,25-40,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
1,12,841,1,3,2,4,0,23,1,1,1,1,16.82,<25,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
3,12,1495,0,4,4,1,0,38,2,1,2,1,59.8,25-40,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,60,13756,4,4,2,4,3,63,1,3,1,1,275.12,60+,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
3,18,1169,4,2,4,3,1,29,2,2,1,1,46.76,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
3,24,3105,4,1,4,2,2,25,2,2,1,1,124.2,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
1,9,790,2,2,4,3,0,66,1,1,1,1,31.6,60+,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
1,9,2030,4,3,2,1,2,24,1,2,1,1,40.6,<25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
1,6,484,0,3,3,3,0,28,1,1,1,1,14.52,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
3,6,362,1,2,4,4,2,52,2,1,1,1,14.48,40-60,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
2,15,2360,2,2,2,2,2,36,1,2,1,1,47.2,25-40,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
0,18,2659,3,2,4,2,2,28,1,2,1,1,106.36,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,12,5801,4,4,2,4,1,49,1,2,1,1,116.02,40-60,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
2,42,6289,0,1,2,1,1,33,2,2,1,1,125.78,25-40,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
3,9,3577,1,2,1,2,0,26,1,2,2,1,35.77,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
3,6,250,3,2,2,2,0,41,2,1,1,1,5.0,40-60,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,9,959,0,2,1,2,2,29,1,2,1,0,9.59,25-40,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
1,30,1715,4,2,4,1,2,26,1,2,1,1,68.6,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,6,1169,4,4,4,4,0,67,2,2,1,1,46.76,60+,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
3,12,1555,3,4,4,4,3,55,2,2,2,0,62.2,40-60,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
3,15,1520,4,4,4,4,1,63,1,2,1,1,60.8,60+,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
2,10,1275,0,1,4,2,1,23,1,2,1,1,51.0,<25,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,24,3021,0,2,2,2,0,24,1,1,1,1,60.42,<25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3,12,1574,0,2,4,2,0,50,1,2,1,1,62.96,40-60,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,9,1313,0,4,1,4,2,20,1,2,1,1,13.13,<25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,21,2606,0,1,4,4,1,28,1,3,1,1,104.24,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
3,24,4139,1,2,3,3,1,27,2,1,1,1,124.17,25-40,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False
1,12,2002,0,3,3,4,1,30,1,2,2,1,60.06,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
1,42,9283,0,0,1,2,3,55,1,3,1,1,92.83,40-60,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
1,48,15672,0,2,2,2,2,23,1,2,1,0,313.44,<25,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False
3,24,1927,4,2,3,2,2,33,2,2,1,1,57.81,25-40,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False
0,18,1442,0,3,4,4,3,32,2,1,2,0,57.68,25-40,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
3,4,1455,0,3,2,1,0,42,3,1,2,1,29.1,40-60,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,36,7127,0,1,2,4,1,23,2,2,1,0,142.54,<25,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
3,9,1224,0,2,3,1,0,30,2,2,1,1,36.72,25-40,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,15,950,0,4,4,3,2,33,2,2,2,0,38.0,25-40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1,11,1577,3,1,4,1,0,20,1,2,1,1,63.08,<25,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
3,15,3556,4,2,3,2,3,29,1,2,1,1,106.68,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,54,9436,4,2,2,2,1,39,1,1,2,1,188.72,25-40,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
0,24,1358,4,4,4,3,2,40,1,3,1,0,54.32,40-60,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
3,22,2675,2,4,3,4,2,40,1,2,1,1,80.25,40-60,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
3,24,2032,0,4,4,4,3,60,2,2,1,1,81.28,60+,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
3,12,797,4,4,4,3,1,33,1,1,2,0,31.88,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
3,15,1532,1,2,4,3,2,31,1,2,1,1,61.28,25-40,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False
3,15,3812,1,1,1,4,2,23,1,2,1,1,38.12,<25,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
0,15,1053,0,1,4,2,0,27,1,2,1,1,42.12,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True
3,12,776,0,2,4,2,0,28,1,2,1,1,31.04,25-40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
3,12,2445,4,1,2,4,2,26,1,2,1,1,48.9,25-40,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
3,18,2404,0,2,2,2,2,26,2,2,1,1,48.08,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,48,4605,0,4,3,4,3,24,2,2,2,0,138.15,<25,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
3,24,2424,4,4,4,4,1,53,2,2,1,1,96.96,40-60,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
1,15,1778,0,1,2,1,0,26,2,0,1,0,35.56,25-40,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,18,3650,0,1,1,4,2,22,1,2,1,1,36.5,<25,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3,18,4165,0,2,2,2,2,36,2,2,2,0,83.3,25-40,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
3,12,2133,4,4,4,4,3,52,1,3,1,1,85.32,40-60,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False
0,12,2577,0,2,2,1,2,42,1,2,1,1,51.54,40-60,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1,60,14027,0,3,4,2,3,27,1,3,1,0,561.08,25-40,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
0,45,11816,0,4,2,4,2,29,2,2,1,0,236.32,25-40,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
3,24,2872,1,4,3,4,0,36,1,2,2,1,86.16,25-40,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
3,18,1530,0,2,3,2,1,32,2,2,1,0,45.9,25-40,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,6,14896,0,4,1,4,3,68,1,3,1,0,148.96,60+,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
0,30,3622,3,4,4,4,1,57,2,2,1,1,144.88,40-60,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
0,24,1207,0,1,4,4,1,24,1,2,1,0,48.28,<25,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3,6,1750,2,4,2,4,1,45,1,1,2,1,35.0,40-60,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
